cluster_size,n_topics,c_v,c_npmi,u_mass,diversity
5,70,0.3671034300614642,-0.19429189479517273,-8.85012910761932,0.6928571428571428
10,28,0.39372674174873357,-0.1889417468857566,-8.184864119266274,0.7285714285714285
15,6,0.3594990333061267,-0.13207111152148895,-6.345099304414416,0.8333333333333334
20,4,0.3268914796554016,-0.24374394606614141,-9.124346396272509,0.925
25,3,0.33621108126794796,-0.16008018803398535,-6.255720950957198,0.9333333333333333
30,2,0.39003518047961827,-0.0885973985446262,-5.345415474083998,0.95
35,2,0.39003518047961827,-0.0885973985446262,-5.345415474083998,0.95
40,2,0.4436685729303339,-0.0777203604221337,-5.1367605379452845,0.95
45,2,0.34427578446739326,-0.23260082498429765,-9.388216170245649,1.0
50,2,0.35550662635388464,-0.3716716157340982,-12.242805710761026,1.0
